"state","year","pregnancyratelt15","pregnancyrate1517","pregnancyrate1819","pregnancyrate1519","pregnancyratelt20","pregnancyrate2024","pregnancyrate2529","pregnancyrate3034","pregnancyrate3539","pregnancyrate40plus","pregnancieslt15","pregnancies1517","pregnancies1819","pregnancies1519","pregnancieslt20","pregnancies2024","pregnancies2529","pregnancies3034","pregnancies3539","pregnancies40plus","miscarriageslt15","miscarriages1517","miscarriages1819","miscarriages1519","miscarriageslt20","miscarriages2024","miscarriages2529","miscarriages3034","miscarriages3539","miscarriages40plus","populationlt15","population1517","population1819","population1519","populationlt20","population2024","population2529","population3034","population3539","population40plus","population1544","pregnancyratetotal","miscarriagestotal","pregnanciestotal","notes","versiondate"
"GA",2006,8.9,43.3,138,80,81.8,189.8,174,128.8,61.9,13.3,600,8730,17620,26350,26940,60400,57850,42450,21870,4810,80,1320,2680,4000,4090,9210,8940,6650,3390,730,66603,201540,127663,329203,329203,318243,332533,329702,353202,362385,2025268,105.8,33000,214320,""," 1 Mar 2021"
"GA",2007,9.3,43.2,138.8,80.6,82.4,189.1,172.9,131.2,61.6,14.2,630,8910,18390,27300,27930,60880,59090,43130,22260,5120,80,1330,2790,4130,4210,9270,9130,6760,3460,770,67188,206284,132488,338772,338772,322022,341780,328669,361126,362054,2054423,106.3,33600,218410,""," 1 Mar 2021"
"GA",2008,8.7,42.6,131.3,78.2,79.9,186.2,172.6,131.4,62.6,14.6,570,8810,18200,27010,27580,60700,59600,43250,22860,5240,80,1300,2720,4030,4100,9100,9080,6690,3500,780,65914,206707,138597,345304,345304,326054,345372,329174,365308,359394,2070606,105.9,33260,219230,""," 1 Mar 2021"
"GA",2009,7.9,37.9,123.4,72.9,74.4,173.6,166,128,61.1,14.9,520,7790,17550,25340,25860,57580,57230,42560,22120,5300,70,1150,2640,3790,3860,8650,8740,6590,3380,790,66168,205432,142228,347660,347660,331636,344746,332602,362240,355705,2074589,101.5,32000,210640,""," 1 Mar 2021"
"GA",2010,7,34.1,107.9,64.4,65.7,160.2,158,124.9,59.7,15,460,6960,15370,22320,22790,54120,53650,42270,21210,5360,60,1030,2310,3340,3400,8100,8200,6560,3250,800,66211,204331,142368,346699,346699,337767,339538,338551,355284,356475,2074314,96.1,30310,199410,""," 1 Mar 2021"
"GA",2011,7,30.6,101,59.5,60.8,153.3,157.8,125.4,60.5,15.4,470,6180,14170,20350,20820,53110,53350,43130,20810,5570,60,910,2120,3030,3090,7960,8170,6690,3180,830,66823,201892,140364,342256,342256,346558,338025,344042,344191,361932,2077004,94.8,29930,196800,""," 1 Mar 2021"
"GA",2012,7,26.1,91.5,52.9,54.3,147.8,155.4,123.8,61.4,15.8,480,5250,12770,18020,18490,52630,52610,43000,20800,5770,60,770,1910,2680,2740,7890,8060,6680,3190,860,67652,201100,139609,340709,340709,356122,338490,347293,339045,365535,2087194,92.6,29420,193310,""," 1 Mar 2021"
"GA",2013,5.2,22,84.8,47.4,48.5,142.3,154.5,125.3,62.2,15.5,350,4460,11650,16110,16460,50880,52500,43810,20990,5660,50,660,1740,2400,2450,7640,8040,6810,3230,850,68372,202381,137318,339699,339699,357622,339720,349600,337614,366328,2090583,91,29000,190300,""," 1 Mar 2021"
"GA",2014,3.7,20.1,79.6,43.8,44.6,138.5,155,128.1,64.6,15.9,260,4130,10820,14950,15210,49740,53780,44910,21960,5770,30,610,1630,2240,2270,7470,8270,7020,3400,870,70982,205157,135925,341082,341082,359007,346861,350528,340018,363323,2100819,91.1,29300,191370,""," 1 Mar 2021"
"GA",2015,3.1,18.3,72.8,39.7,40.4,137.5,155.6,130.1,65.8,16.2,220,3850,9880,13730,13950,49040,55440,45630,22750,5800,30,570,1480,2050,2080,7350,8500,7130,3520,870,70985,209767,135724,345491,345491,356554,356382,350774,345682,358260,2113143,91.2,29460,192610,""," 1 Mar 2021"
"GA",2016,3.3,16.5,68.4,36.8,37.5,132.2,152.6,132.1,65.9,16.1,230,3530,9400,12930,13160,46770,56210,46590,23330,5620,30,520,1410,1930,1960,6990,8580,7270,3600,850,70141,213620,137395,351015,351015,353872,368249,352769,353831,349735,2129471,90,29250,191680,""," 1 Mar 2021"
"GA",2017,2.4,14.4,65.7,34.5,35,129.1,149.9,131.6,66.8,16.8,170,3100,9130,12230,12400,45410,56550,46690,23980,5830,20,460,1360,1820,1840,6780,8620,7280,3700,880,70380,215558,139052,354610,354610,351597,377212,354825,359171,346342,2143757,89,29100,190870,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"HI",1988,15.1,76,217.4,131.3,134.3,244.6,206.7,139,66.8,16.1,110,1660,3060,4720,4830,10040,9850,6780,2990,590,10,200,390,590,600,1390,1430,1000,420,80,7009,21892,14080,35972,35972,41043,47651,48791,44739,36763,254959,137.6,4920,35090,""," 1 Mar 2021"
"HI",1992,24.3,92.2,208.2,139.8,144.7,286.9,205.4,143.5,72,17.5,180,1960,3080,5050,5230,10670,9720,7290,3560,770,20,240,400,640,660,1450,1400,1070,520,100,7283,21309,14810,36119,36119,37203,47322,50764,49412,43903,264723,140.7,5190,37230,""," 1 Mar 2021"
"HI",1996,10.3,63.5,166.5,102.8,105,213.4,181.4,126.6,68.4,17.2,90,1510,2440,3960,4040,7740,7480,6270,3360,810,NA,200,340,530,540,1110,1130,970,510,120,8406,23826,14678,38504,38504,36289,41227,49486,49134,47176,261816,113.5,4370,29700,""," 1 Mar 2021"
"HI",2000,6.4,50,161.6,93,94.3,185.4,165.2,132.9,73.1,18.9,50,1190,2410,3610,3660,7030,6560,5680,3430,900,NA,160,330,490,500,1030,1000,890,530,130,7851,23852,14933,38785,38785,37921,39724,42708,46932,47480,253550,107.5,4070,27250,""," 1 Mar 2021"
"HI",2005,5.8,41.6,121,71.4,72.6,165.4,162.6,139.7,80.5,21.3,50,1050,1840,2900,2950,7200,7010,5710,3490,1010,NA,140,260,400,400,1050,1070,890,540,150,8743,25344,15245,40589,40589,43541,43123,40879,43403,47324,258859,105.7,4120,27370,""," 1 Mar 2021"
"HI",2006,6.8,45.2,127.5,75.9,77.3,174.6,166.1,146.7,82.2,22.1,60,1170,1980,3150,3210,7640,7430,5910,3610,1030,NA,150,280,430,440,1120,1140,930,560,160,8204,26014,15528,41542,41542,43740,44717,40275,43852,46739,260865,110.5,4350,28820,""," 1 Mar 2021"
"HI",2007,8.4,42.5,131.4,75.8,77.5,178.6,165.4,150.5,84.4,23.1,70,1100,2050,3150,3220,7650,7520,6030,3700,1060,NA,140,290,430,440,1120,1150,950,580,160,8290,26001,15600,41601,41601,42813,45437,40076,43855,45718,259500,112.4,4390,29180,""," 1 Mar 2021"
"HI",2008,7.9,38.3,137.4,76.6,78.2,176.3,163,153.2,86.9,24.8,70,980,2220,3200,3260,7550,7650,6240,3780,1110,NA,130,310,440,450,1100,1180,980,590,170,8320,25576,16148,41724,41724,42808,46932,40719,43542,44832,260557,113.6,4460,29590,""," 1 Mar 2021"
"HI",2009,6.8,35.3,123.9,70.6,72,167.1,166.2,145.6,84.6,23.1,50,890,2060,2950,3000,7220,7800,6090,3670,1020,NA,120,290,410,410,1060,1190,950,570,150,8049,25107,16648,41755,41755,43213,46941,41834,43412,44090,261245,110.3,4340,28810,""," 1 Mar 2021"
"HI",2010,4.2,31.7,117.6,65.5,66.3,167,166.6,146,82.7,24.5,30,790,1910,2700,2740,7400,7800,6330,3510,1090,NA,100,270,370,370,1080,1190,990,550,170,8120,25017,16248,41265,41265,44288,46799,43387,42514,44406,262659,109.9,4350,28870,""," 1 Mar 2021"
"HI",2011,4.7,29.7,111,61.1,62,162.2,162.6,144.5,85.7,25.4,40,730,1720,2460,2490,7370,7750,6500,3590,1130,NA,90,240,330,340,1080,1180,1020,560,170,7964,24695,15530,40225,40225,45454,47642,44994,41883,44538,264736,108.9,4350,28840,""," 1 Mar 2021"
"HI",2012,4.4,24.8,99.2,53.8,54.7,148.7,159.3,145.4,86,26,30,600,1530,2120,2160,6800,7650,6780,3630,1150,NA,80,210,290,300,1000,1170,1070,570,180,7893,24096,15374,39470,39470,45762,48026,46593,42191,44454,266496,105.7,4290,28170,""," 1 Mar 2021"
"HI",2013,2.7,19.3,84.6,44.7,45.3,146.3,156.6,136.7,89.3,24.3,20,460,1280,1740,1760,6660,7600,6580,3810,1070,NA,60,180,250,250,990,1170,1040,600,160,7907,23711,15121,38832,38832,45530,48519,48134,42646,43961,267622,102.7,4220,27470,""," 1 Mar 2021"
"HI",2014,NA,18.5,75.9,40.7,41,132.5,149.5,138.7,85.2,25.8,NA,430,1120,1550,1560,6000,7260,6780,3670,1110,NA,60,160,220,220,900,1130,1080,580,170,7862,23331,14718,38049,38049,45245,48569,48866,43141,43107,266977,98.8,4080,26380,""," 1 Mar 2021"
"HI",2015,2.3,15.4,67.8,35.5,36,127.1,143.8,136.4,89,25.6,20,360,990,1340,1360,5630,7090,6690,3970,1070,NA,50,140,190,200,860,1110,1070,630,170,8016,23241,14542,37783,37783,44249,49265,49061,44544,41992,266894,96.7,4020,25810,""," 1 Mar 2021"
"HI",2016,1.3,13.2,63.6,32.4,32.7,121.6,140.4,136.4,85,25.4,10,310,910,1220,1230,5230,7040,6670,3880,1050,NA,40,140,180,180,800,1100,1060,620,160,7717,23342,14396,37738,37738,43017,50130,48931,45657,41527,267000,94,3920,25110,""," 1 Mar 2021"
"HI",2017,2.5,12.4,63.2,31.9,32.4,121.8,136.7,131.8,84.4,27.2,20,290,910,1200,1220,5090,6780,6420,3930,1120,NA,40,130,170,180,770,1060,1020,620,170,7755,23128,14409,37537,37537,41758,49591,48747,46582,41339,265554,92.5,3830,24560,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IA",1988,8.1,44.2,105.4,70.3,71.7,160.7,169.2,96.1,33,5.9,150,2600,4600,7200,7340,16520,18960,10610,3340,500,20,340,630,970,990,2460,2980,1670,510,70,18062,58705,43639,102344,102344,102804,112074,110405,101374,84586,613587,93.3,8670,57270,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of KS, MN, MO, NE, SD)"," 1 Mar 2021"
"IA",1992,7.2,36.6,112,66.3,67.8,148.9,173.2,105.1,34.7,6.4,140,2120,4220,6330,6480,15270,16650,11520,3830,650,20,300,620,930,950,2330,2650,1840,590,90,19857,57843,37656,95499,95499,102549,96161,109594,110365,101205,615373,88.4,8440,54390,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of KS, MN, MO, NE, SD)"," 1 Mar 2021"
"IA",1996,5.3,34.3,92.7,57.6,58.7,141.3,160.8,113.5,38.2,7.8,110,2230,4010,6240,6350,13220,15430,11090,4380,860,20,330,610,940,950,2040,2460,1780,690,130,21345,65009,43264,108273,108273,93551,95918,97683,114834,110949,621208,82.6,8040,51330,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of KS, MN, MO, NE, SD)"," 1 Mar 2021"
"IA",2000,5,29.4,88.6,54.3,55.3,143.2,178.4,124.3,43.1,8.3,110,1890,4130,6020,6130,14360,15390,11330,4680,950,10,280,620,890,910,2210,2460,1820,740,140,20967,64208,46629,110837,110837,100285,86248,91193,108488,113624,610675,86.5,8280,52830,""," 1 Mar 2021"
"IA",2005,3.6,25.4,80.9,48.6,49.3,137.1,198.9,125.5,54.3,9.9,70,1580,3630,5210,5280,14790,16740,11050,4970,1070,NA,230,550,780,790,2290,2680,1770,790,160,20796,62282,44897,107179,107179,107910,84188,88056,91409,108607,587349,91.8,8480,53920,""," 1 Mar 2021"
"IA",2006,3.5,26.2,85.3,50.7,51.3,141.5,203.7,130.3,55.2,10,70,1650,3790,5440,5510,15270,17630,11210,5090,1050,NA,240,570,810,820,2360,2820,1800,800,160,20570,62919,44434,107353,107353,107909,86562,86078,92204,104441,584547,95.4,8760,55760,""," 1 Mar 2021"
"IA",2007,3.8,26.1,86.7,51.2,52,143.9,197.8,133.8,56.1,10.6,80,1650,3870,5520,5600,15150,17960,11480,5130,1070,10,240,580,820,830,2340,2860,1840,810,160,20175,63060,44664,107724,107724,105280,90790,85835,91532,100418,581579,97,8840,56390,""," 1 Mar 2021"
"IA",2008,3.9,26.4,84.7,51,51.7,139,188.9,131.7,52.8,11.3,80,1640,3850,5490,5570,14510,17650,11450,4780,1090,10,240,580,830,840,2240,2820,1850,750,170,19638,62149,45457,107606,107606,104346,93442,86971,90469,96426,579260,95,8660,55050,""," 1 Mar 2021"
"IA",2009,3.9,25,82.2,49.5,50.2,133.9,181.3,133.2,53.2,11.6,80,1530,3760,5280,5360,13920,17380,11820,4700,1090,NA,220,570,790,800,2150,2780,1900,740,170,19642,61049,45672,106721,106721,103921,95867,88718,88289,93785,577301,94,8540,54250,""," 1 Mar 2021"
"IA",2010,3.7,21.8,73.6,44.1,44.8,128.2,176.9,131.7,52.7,12.6,70,1310,3340,4650,4720,13340,17040,12040,4590,1170,NA,190,510,700,710,2060,2720,1940,720,180,19290,60197,45353,105550,105550,104106,96312,91377,87140,92569,577054,91.7,8330,52910,""," 1 Mar 2021"
"IA",2011,2.6,18.7,64.9,38.8,39.3,120,176.9,132.8,51.9,11.8,50,1120,2970,4090,4140,12750,16930,12500,4430,1090,NA,170,450,610,620,1970,2710,2020,700,160,19483,59566,45759,105325,105325,106254,95690,94157,85247,92855,579528,89.4,8190,51830,""," 1 Mar 2021"
"IA",2012,2.8,17,61.3,36.1,36.6,116.9,178,131.9,54.6,11.7,60,1000,2740,3740,3800,12740,16750,12680,4670,1070,NA,150,420,570,580,1980,2700,2050,750,170,19789,58968,44774,103742,103742,108975,94115,96109,85484,92102,580527,89.1,8220,51710,""," 1 Mar 2021"
"IA",2013,1.6,14.7,54.1,31.7,32,110.6,180.9,136,54.4,11,30,870,2420,3290,3320,12320,16810,13270,4760,1000,NA,130,380,510,510,1930,2720,2150,760,150,19771,59234,44797,104031,104031,111392,92963,97550,87479,90996,584411,88.1,8230,51480,""," 1 Mar 2021"
"IA",2014,1.9,13.3,48.9,28.5,28.9,106.8,183,140.6,56.7,10.9,40,790,2180,2970,3010,12050,17020,13800,5100,980,NA,120,340,460,460,1900,2760,2240,820,150,20249,59684,44536,104220,104220,112794,93005,98105,89900,89154,587178,88.5,8330,51950,""," 1 Mar 2021"
"IA",2015,1.4,12.2,47.1,27,27.2,102.1,183.7,141,59.6,11.3,30,740,2090,2820,2850,11520,17090,13800,5510,990,NA,110,320,430,440,1810,2760,2240,890,160,19907,60343,44307,104650,104650,112748,93044,97897,92548,87603,588490,88,8300,51770,""," 1 Mar 2021"
"IA",2016,1,10.3,45.8,25.3,25.5,100.2,181.6,145,58.1,12.3,20,620,2030,2650,2670,11200,17170,14100,5540,1060,NA,90,310,400,410,1760,2770,2290,890,160,19591,60377,44350,104727,104727,111771,94553,97254,95371,85606,589282,87.8,8290,51740,""," 1 Mar 2021"
"IA",2017,1.7,9.7,41.5,23.1,23.5,92.8,171,145.1,60,12.3,30,580,1830,2410,2450,10230,16660,13880,5860,1050,NA,90,280,370,380,1610,2690,2260,940,170,19942,60175,44152,104327,104327,110213,97423,95673,97682,85721,591039,84.8,8050,50130,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"ID",1988,5.4,42.2,123.6,75.4,76.4,205.3,173,100.4,38.8,9.3,40,970,1960,2930,2970,6690,6480,4020,1470,290,NA,140,290,430,440,1040,1030,640,230,40,7583,23057,15844,38901,38901,32596,37438,40053,38020,31112,218120,100.5,3420,21930,""," 1 Mar 2021"
"ID",1992,5.3,42.2,131.9,77.3,78.4,202.6,193.7,103.3,40,8.7,50,1110,2230,3340,3390,7200,6490,4330,1740,340,NA,170,340,510,510,1140,1040,700,270,50,9033,26343,16899,43242,43242,35558,33528,41893,43584,38988,236793,99.2,3710,23500,""," 1 Mar 2021"
"ID",1996,6.7,39.6,114,69.5,70.9,185.8,190.1,107.4,40.6,9.5,70,1260,2430,3680,3750,7590,6880,4430,1960,450,NA,190,370,560,570,1210,1110,710,310,70,10484,31676,21277,52953,52953,40831,36182,41197,48144,46737,266044,94.1,3970,25050,""," 1 Mar 2021"
"ID",2000,4.4,31.3,105.4,62.1,63,190.1,186.1,119.6,47.9,11.7,50,1010,2410,3420,3460,8650,7590,4940,2250,570,NA,150,370,520,530,1360,1220,800,350,90,10333,32121,22912,55033,55033,45498,40792,41288,46897,49148,278656,98.6,4350,27460,""," 1 Mar 2021"
"ID",2005,3.5,25,94.6,53.2,53.9,181.5,198.8,127.3,57.1,12.7,40,820,2130,2950,2980,9460,9240,5620,2540,630,NA,120,330,450,460,1510,1490,910,400,100,10890,32909,22477,55386,55386,52112,46485,44112,44487,49529,292111,104.3,4870,30470,""," 1 Mar 2021"
"ID",2006,3.8,29.2,97.6,56.7,57.4,188.6,201.9,131.1,56.3,11.2,40,980,2200,3180,3220,9960,9840,5830,2600,550,NA,140,340,480,490,1590,1590,940,410,80,10800,33597,22526,56123,56123,52795,48738,44428,46130,48902,297116,107.7,5110,31990,""," 1 Mar 2021"
"ID",2007,2.9,28.7,103.5,59,59.6,190.4,201.8,132.1,58.7,13.7,30,970,2370,3340,3370,10090,10180,6090,2770,660,NA,140,360,510,510,1600,1640,990,440,100,10978,33690,22931,56621,56621,53001,50457,46120,47159,48223,301581,110,5290,33170,""," 1 Mar 2021"
"ID",2008,2.5,27.8,98.3,56.8,57.2,183,198,135.1,56.1,12.6,30,930,2300,3240,3260,9710,10390,6350,2690,600,NA,140,360,500,500,1540,1690,1030,430,90,10964,33592,23440,57032,57032,53076,52492,47034,47983,47156,304773,108.3,5290,33010,""," 1 Mar 2021"
"ID",2009,2.6,24,90.1,51.3,51.8,169.8,183.8,130.1,54.4,13.6,30,800,2110,2910,2940,9060,9620,6350,2610,630,NA,120,330,450,450,1440,1560,1030,420,100,10884,33377,23446,56823,56823,53365,52354,48800,47923,46703,305968,102,5000,31220,""," 1 Mar 2021"
"ID",2010,2.3,22,84.6,47.4,47.9,158.4,186.6,129.1,53.4,12.7,30,740,1930,2670,2690,8490,9670,6490,2540,600,NA,110,300,410,420,1350,1570,1050,410,90,11240,33424,22815,56239,56239,53626,51832,50299,47564,46956,306516,99.5,4880,30490,""," 1 Mar 2021"
"ID",2011,2.6,16.6,77.2,40.7,41.2,149.9,177.4,128,53,13.2,30,560,1710,2270,2300,8180,9160,6570,2500,630,NA,90,260,350,350,1300,1480,1060,400,100,11202,33590,22188,55778,55778,54574,51611,51323,47201,47730,308217,95.2,4690,29340,""," 1 Mar 2021"
"ID",2012,1.5,17.2,76.8,40.7,41,151,182.2,129.4,53.8,13.8,20,580,1680,2250,2270,8310,9340,6710,2570,670,NA,90,260,350,350,1330,1510,1090,420,100,11279,33588,21837,55425,55425,55033,51241,51836,47685,48149,309369,96.5,4800,29860,""," 1 Mar 2021"
"ID",2013,1.5,13,70.5,35.4,35.7,141.3,180.7,123.5,56.1,13.4,20,440,1530,1970,1980,7760,9260,6510,2730,650,NA,70,240,310,310,1240,1510,1070,440,100,11604,33911,21639,55550,55550,54898,51249,52699,48770,48254,311420,92.8,4660,28900,""," 1 Mar 2021"
"ID",2014,1.5,12.5,63.6,32.3,32.7,148.4,175,129.4,57.6,13.1,20,430,1390,1820,1840,8050,9160,6850,2890,630,NA,70,220,280,290,1290,1490,1120,470,100,12017,34412,21847,56259,56259,54234,52342,52987,50215,48283,314320,93.6,4750,29430,""," 1 Mar 2021"
"ID",2015,1.3,12.2,62.8,31.4,31.7,141.9,172.1,131.9,59.4,13.9,20,430,1370,1800,1820,7550,9220,7030,3070,670,NA,70,210,280,280,1210,1500,1150,500,110,12229,35510,21758,57268,57268,53189,53576,53276,51690,48220,317219,92.5,4740,29360,""," 1 Mar 2021"
"ID",2016,1.1,10.8,56.6,28.1,28.3,137.6,164.7,133,55,14.4,10,400,1260,1650,1670,7350,9110,7160,2950,700,NA,60,200,260,260,1170,1480,1170,480,110,11952,36663,22202,58865,58865,53424,55294,53832,53734,48368,323517,89.4,4670,28930,""," 1 Mar 2021"
"ID",2017,1.1,8.6,54.5,26,26.2,131.9,161.9,125.2,57.3,13.2,10,320,1230,1550,1560,7120,9210,6850,3190,650,NA,50,190,240,240,1140,1500,1120,510,100,12226,37066,22640,59706,59706,53959,56872,54747,55631,49583,330498,86.5,4610,28580,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",1988,18.8,71.8,167.9,111.2,114.5,186,175.1,114.8,47.4,9.6,1400,17680,28770,46450,47850,83080,88490,57690,20870,3580,180,2420,3850,6270,6460,11780,13480,8890,3120,500,74506,246370,171374,417744,417744,446562,505286,502676,440131,374584,2686983,112.2,44220,301560,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of IN, MO, OH)"," 1 Mar 2021"
"IL",1992,17.4,68.1,174.7,110.9,114.4,196.4,174.3,121.7,52.4,10.7,1340,15540,26670,42220,43560,83250,82420,63670,25340,4590,180,2240,3770,6020,6200,11830,12550,9880,3820,650,77071,228134,152634,380768,380768,423805,472857,523160,483605,430734,2714929,111.5,44930,302830,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of IN, MO, OH)"," 1 Mar 2021"
"IL",1996,14.9,69,161.9,104.8,107.9,184.6,171.7,126.4,56.8,12.4,1280,17510,25750,43260,44540,73340,77000,63510,29240,5800,160,2400,3610,6010,6170,10420,11590,9870,4450,830,86115,253842,159107,412949,412949,397296,448439,502657,514653,467168,2743162,107,43330,293430,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2000,11,53.8,139.5,88.1,90.3,173.4,170.2,137.3,61.8,13.5,960,13960,24110,38070,39030,72520,74510,62670,30800,6720,120,1920,3420,5340,5470,10500,11290,9820,4770,1000,87096,259518,172810,432328,432328,418314,437885,456542,498419,499318,2742806,104.4,42840,286250,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2005,7.8,39.9,110.8,67.3,68.9,147.9,167.6,142.1,72.5,15.5,710,10860,18910,29760,30480,64200,71840,61630,32410,7530,90,1510,2740,4250,4350,9460,11010,9660,5040,1130,91168,271754,170715,442469,442469,434166,428576,433781,446753,485896,2671641,100.3,40650,268090,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2006,7.8,40.5,112.7,68.1,69.7,151.2,166.4,142.9,72.7,16,710,11170,19240,30410,31110,65160,73160,60510,32560,7580,90,1570,2810,4380,4470,9610,11210,9490,5060,1140,90015,275583,170681,446264,446264,430846,439604,423430,448206,472789,2661139,101.5,40970,270100,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2007,7.5,40,115.5,69.2,70.6,149.5,165.6,144.2,72.7,16.2,660,11080,20080,31150,31820,64260,73810,60680,32580,7440,80,1550,2920,4480,4560,9480,11320,9500,5060,1120,88957,276539,173816,450355,450355,429962,445735,420791,447946,460521,2655310,101.9,41040,270580,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2008,8,39.5,111.8,68.1,69.7,148.7,161.3,145.6,71.7,16.8,710,10800,19980,30780,31480,63700,73100,61370,31780,7560,90,1500,2890,4380,4470,9280,11130,9590,4910,1140,88639,273205,178769,451974,451974,428234,453257,421577,443546,449921,2648509,101.6,40530,268990,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2009,6.2,35,103.6,62.4,63.6,138.4,152.4,142.9,70.4,17.6,550,9490,18680,28170,28720,59510,69420,60970,30750,7750,70,1320,2710,4030,4100,8710,10630,9560,4770,1160,87717,271366,180316,451682,451682,430084,455510,426680,436665,440550,2641171,97.3,38930,257120,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2010,5.8,32,94.8,57,58.1,128.6,145.3,139.5,68.6,17.5,510,8610,16880,25490,26000,55580,65830,60470,29280,7670,60,1200,2460,3660,3730,8170,10120,9530,4570,1160,86919,269356,178098,447454,447454,432110,452966,433603,426957,437403,2630493,93.1,37280,244850,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2011,4.6,28.6,85.6,51.3,52.2,123.5,143.5,139.6,70.9,17.4,390,7600,15090,22680,23070,53840,64660,61490,29460,7650,50,1060,2180,3250,3290,7860,9920,9670,4590,1150,85917,265602,176184,441786,441786,435815,450513,440349,415713,439388,2623564,91.5,36500,240170,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2012,5.1,25.3,82.3,48,49,120.2,143,139.3,71.6,17.6,440,6600,14260,20860,21290,52990,63850,61910,29450,7710,50,920,2070,3000,3050,7730,9770,9730,4590,1160,84644,261017,173214,434231,434231,440896,446637,444534,411349,437497,2615144,90.7,36030,237210,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2013,3.9,21.7,75.2,43.1,43.9,116.8,141.4,139.6,73.3,17.7,330,5570,12830,18410,18740,51900,62800,62600,30180,7660,40,780,1850,2630,2670,7560,9580,9860,4710,1150,84244,256222,170699,426921,426921,444196,444017,448498,411781,432230,2607643,89.7,35530,233880,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2014,3,18.4,70.4,39,39.7,115.3,143,143.3,75.7,18,260,4670,11720,16390,16640,51350,63300,64140,31340,7630,30,660,1700,2360,2390,7480,9680,10120,4900,1150,85407,253234,166524,419758,419758,445318,442706,447643,414248,424110,2593783,90.4,35720,234400,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2015,2.4,17.3,63.7,35.5,36,112.7,144.9,145.2,76.2,18.1,200,4370,10390,14760,14960,49740,64050,64300,31940,7460,30,620,1520,2140,2160,7270,9770,10160,5000,1140,83970,252541,163189,415730,415730,441237,441910,442888,419256,412841,2573862,90.3,35510,232460,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2016,2.7,14.6,58.6,31.8,32.3,106.9,142,146.5,76.8,18.8,220,3680,9410,13090,13320,46220,62920,64220,32500,7510,30,520,1370,1890,1920,6740,9600,10150,5090,1140,81390,251721,160488,412209,412209,432539,443092,438354,423121,399976,2549291,88.9,34650,226680,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"IL",2017,2.3,13.3,57.1,30.4,30.8,105.3,137.4,143.7,77,19.1,190,3320,9080,12390,12580,44630,61210,62170,32690,7520,20,470,1310,1770,1790,6480,9290,9820,5140,1140,81247,248974,159056,408030,408030,423740,445450,432644,424820,394254,2528938,87.3,33650,220810,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
